#Centroids	alpha_prevalence_VAGINA	beta_prevalence	mean_abundance	ppanini_score_VAGINA
UniRef90_E4SNT2	0.5	0.5	462.890442064	17.4038991908
UniRef90_E4SLG4	0.5	0.5	389.629360666	16.149884334
UniRef90_D5H2D9	0.5	0.5	311.065300006	14.2941313598
UniRef90_D5H2D8	0.5	0.5	316.766892337	14.4370742181
UniRef90_D5H2D1	0.5	0.5	327.157592468	14.7092209986
UniRef90_D5H2D0	0.5	0.5	336.528848808	14.9617812196
UniRef90_D5H2D2	0.5	0.5	350.828895025	15.3186080779
UniRef90_D5H2D4	0.5	0.5	309.831369926	14.2580051007
UniRef90_D5H2D7	0.5	0.5	323.404149715	14.6156224531
UniRef90_D5H2D6	0.5	0.5	337.820710297	15.0190791871
UniRef90_T0MMN8	0.157894736842	0.157894736842	378.175986061	15.1801713442
UniRef90_D6S615	0.263157894737	0.263157894737	359.018875614	15.1254606838
UniRef90_D6S616	0.289473684211	0.289473684211	327.029245622	14.4425729352
UniRef90_D6S610	0.105263157895	0.105263157895	352.247887859	14.2405589763
UniRef90_K1M2B3	0.0789473684211	0.0789473684211	735.3472262	16.4604422221
UniRef90_Q74M26	0.184210526316	0.184210526316	415.543394459	16.0664011623
UniRef90_E1NYA9	0.315789473684	0.315789473684	458.796351988	17.0843350813
UniRef50_D5H0C9	0.0789473684211	0.0789473684211	388.659036023	14.5894731185
UniRef90_C7Y3A2	0.473684210526	0.473684210526	341.699088253	15.0400805101
UniRef90_P60927	0.157894736842	0.157894736842	406.197133926	15.7057059053
UniRef90_V5EHI8	0.5	0.5	305.38556832	14.1181660765
UniRef90_K1MZP4	0.0789473684211	0.0789473684211	466.821464785	15.6630303327
UniRef90_U2G611	0.184210526316	0.184210526316	329.735382371	14.2970426361
UniRef90_C4VSY6	0.131578947368	0.131578947368	339.179340617	14.2056772685
UniRef90_K1MHW2	0.0526315789474	0.0526315789474	606.892434163	15.6690426011
UniRef90_C7XJZ0	0.315789473684	0.315789473684	452.500208112	16.9916061576
UniRef90_C7XJZ2	0.5	0.5	464.82022616	17.4246556609
UniRef90_C4VL45	0.315789473684	0.315789473684	321.924384318	14.3941137314
UniRef90_C7XJZ7	0.473684210526	0.473684210526	461.922541205	17.2842269487
UniRef90_A8YV13	0.5	0.5	323.301427606	14.6094835836
UniRef90_E3BRJ8	0.315789473684	0.315789473684	575.551266168	17.8708570456
UniRef90_D6S2B4	0.105263157895	0.105263157895	468.04973082	16.0361246829
UniRef90_E3BRJ5	0.289473684211	0.289473684211	522.33222528	17.530746358
UniRef90_E3BRJ6	0.315789473684	0.315789473684	546.938930679	17.7401475251
UniRef90_E3BRJ7	0.315789473684	0.315789473684	546.477614263	17.7377473518
UniRef90_E3BRJ1	0.315789473684	0.315789473684	497.572219608	17.4728354269
UniRef90_E3BRJ2	0.315789473684	0.315789473684	486.73609208	17.3775947067
UniRef90_E3BRJ3	0.263157894737	0.263157894737	520.629564403	17.3986343699
UniRef90_D6S2B6	0.315789473684	0.315789473684	347.087200823	15.0314660975
UniRef90_D4FDK0	0.210526315789	0.210526315789	398.555296954	15.7942464061
UniRef90_C4VQW6	0.157894736842	0.157894736842	412.776303001	15.8319912527
UniRef90_C7XKB5	0.342105263158	0.342105263158	400.502878653	16.1778013993
UniRef90_C7XKB7	0.342105263158	0.342105263158	398.787235682	16.1423377993
UniRef90_C7XKB6	0.342105263158	0.342105263158	396.193766942	16.096525735
UniRef90_D6S2B2	0.289473684211	0.289473684211	378.025716779	15.5964082627
UniRef90_C7XKB9	0.368421052632	0.368421052632	396.194785837	16.1154841755
UniRef90_C7XKB8	0.342105263158	0.342105263158	411.47903763	16.3926622451
UniRef90_A0A087Q9U6	0.131578947368	0.131578947368	436.239882324	15.9635855795
UniRef90_A0A087Q9U3	0.131578947368	0.131578947368	433.11180153	15.9259744466
UniRef90_E6LSY5	0.0526315789474	0.0526315789474	743.578069241	15.8065524496
UniRef90_E1NWV8	0.263157894737	0.263157894737	520.414037512	17.3976945114
UniRef90_C2EPE8	0.5	0.5	409.752344071	16.5462420027
UniRef90_U2G1N8	0.184210526316	0.184210526316	373.383688349	15.255568399
UniRef90_E4SIV9	0.342105263158	0.342105263158	339.1949712	14.8989452286
