#Centroids	alpha_prevalence_VAGINA	beta_prevalence	mean_abundance	ppanini_score_VAGINA
UniRef50_D6S3L8	0.0526315789474	0.0526315789474	27.1088600625	4.18255135445
UniRef90_T5LSM4	0.0263157894737	0.0263157894737	301.52149818	9.49384795224
UniRef50_E3DAF9	0.0263157894737	0.0263157894737	54.7974649181	5.15519574245
UniRef50_S8FFN8	0.0263157894737	0.0263157894737	163.452176382	7.72794047593
UniRef50_S8FK24	0.0263157894737	0.0263157894737	187.488539766	8.27631242822
SRS011269.4437	0.0	0.0	0.0	0.230797315623
UniRef90_D6S2J5	0.105263157895	0.105263157895	561.124225088	16.5682190682
UniRef90_D6S2J4	0.105263157895	0.105263157895	527.462748175	16.4405293451
UniRef50_C7ML70	0.0263157894737	0.0263157894737	20.4596825469	2.72386348698
UniRef90_UPI0004CE3DEC	0.0526315789474	0.0526315789474	274.986110551	11.8320849705
UniRef90_D6S2J0	0.105263157895	0.105263157895	527.48748143	16.4411553807
UniRef50_Q8RIF6	0.0263157894737	0.0263157894737	215.646673029	8.56718699673
UniRef50_C7XH81	0.0263157894737	0.0263157894737	295.276920146	9.41494060678
SRS051505.4916	0.0789473684211	0.0789473684211	127.759324277	8.4675105364
UniRef90_F5TGJ9	0.0263157894737	0.0263157894737	50.5587294223	5.05191125483
UniRef90_X2CXM8	0.0	0.0	0.0	0.230797315623
UniRef50_UPI0005163844	0.0263157894737	0.0263157894737	23.1042665574	3.13924461446
UniRef50_Q8A2N9	0.0263157894737	0.0263157894737	184.465718734	8.1809800178
UniRef90_E1GW36	0.0263157894737	0.0263157894737	161.872739204	7.68531243346
UniRef50_B5ZAT4	0.0263157894737	0.0263157894737	24.5426644754	3.41013793489
UniRef50_E2ZAT3	0.0263157894737	0.0263157894737	32.029569179	4.30717977834
UniRef50_X2H394	0.0263157894737	0.0263157894737	38.3030487876	4.62446823581
UniRef90_Q044A9	0.526315789474	0.526315789474	314.747107148	14.4403554338
UniRef90_E3BZE4	0.263157894737	0.263157894737	408.323594531	16.0906765135
UniRef90_Q044A4	0.157894736842	0.157894736842	288.188464313	13.1033409397
UniRef90_E3BZE1	0.0526315789474	0.0526315789474	367.724705332	13.7406737528
UniRef90_Q044A3	0.157894736842	0.157894736842	361.853164601	14.872571061
UniRef90_Q044A1	0.157894736842	0.157894736842	357.548380928	14.7833822917
SRS017497.4695	0.0263157894737	0.0263157894737	167.793706194	7.82612788733
UniRef90_C7Y698	0.394736842105	0.394736842105	611.482884259	18.0799268162
UniRef90_C7Y699	0.394736842105	0.394736842105	303.281392423	13.9423467938
UniRef90_F0GRB1	0.0263157894737	0.0263157894737	876.023446716	11.3807187037
UniRef90_A0A087DJC9	0.0	0.0	0.0	0.230797315623
UniRef90_C7Y696	0.0789473684211	0.0789473684211	228.724415306	11.3609687264
UniRef90_S4HZX7	0.0263157894737	0.0263157894737	224.534291453	8.63561811005
UniRef90_C7Y695	0.0789473684211	0.0789473684211	228.724415306	11.3609687264
UniRef90_E3BTL3	0.289473684211	0.289473684211	418.647020989	16.3826766474
UniRef90_K1M441	0.289473684211	0.289473684211	342.673352181	14.8554092051
UniRef50_A0JQE3	0.0263157894737	0.0263157894737	5.9006363229	0.63729478095
UniRef90_D3LW51	0.0263157894737	0.0263157894737	44.4747101876	4.85311195874
UniRef90_D3LW50	0.0263157894737	0.0263157894737	73.5604448901	5.60745452334
