#Centroids	ppanini_score	alpha_prevalence	beta_prevalence	mean_abundance
UniRef90_A0A087BME3	{'VAGINA': 7.0985762968451942}	{'VAGINA': 0.02631578947368421}	0.0263157894737	135.225041378
UniRef90_UPI0003F9D06F	{'VAGINA': 13.679342864064134}	{'VAGINA': 0.07894736842105263}	0.0789473684211	337.860750002
UniRef90_D2RD55	{'VAGINA': 7.4373748046847137}	{'VAGINA': 0.10526315789473684}	0.105263157895	95.3075925616
UniRef90_D2RD54	{'VAGINA': 7.6733513901665527}	{'VAGINA': 0.10526315789473684}	0.105263157895	101.558542329
UniRef90_D2RD50	{'VAGINA': 8.1262503902588001}	{'VAGINA': 0.10526315789473684}	0.105263157895	115.429826789
UniRef90_D2RD53	{'VAGINA': 6.9468719459790202}	{'VAGINA': 0.10526315789473684}	0.105263157895	81.5494211192
UniRef90_D2RD52	{'VAGINA': 8.3118639062767237}	{'VAGINA': 0.10526315789473684}	0.105263157895	119.986325107
UniRef90_Q74LQ3	{'VAGINA': 15.685262363251748}	{'VAGINA': 0.15789473684210525}	0.157894736842	405.770690585
SRS014494.1819	{'VAGINA': 14.118549348071507}	{'VAGINA': 0.15789473684210525}	0.157894736842	328.496197691
UniRef90_Q043P8	{'VAGINA': 12.28390338200359}	{'VAGINA': 0.15789473684210525}	0.157894736842	254.150979952
UniRef90_Q043P9	{'VAGINA': 12.28390338200359}	{'VAGINA': 0.15789473684210525}	0.157894736842	254.150979952
UniRef90_Q043P6	{'VAGINA': 11.895978926797909}	{'VAGINA': 0.13157894736842105}	0.131578947368	240.403379802
UniRef90_Q043P4	{'VAGINA': 13.205272269310811}	{'VAGINA': 0.13157894736842105}	0.131578947368	299.363662756
UniRef90_Q043P5	{'VAGINA': 2.8254321112522534}	{'VAGINA': 0.02631578947368421}	0.0263157894737	21.1600112619
UniRef90_Q043P2	{'VAGINA': 13.027540199035638}	{'VAGINA': 0.10526315789473684}	0.105263157895	299.91976915
UniRef90_Q043P0	{'VAGINA': 13.027158986875431}	{'VAGINA': 0.13157894736842105}	0.131578947368	291.48859483
UniRef50_D2Q7G2	{'VAGINA': 2.4896230075546031}	{'VAGINA': 0.02631578947368421}	0.0263157894737	18.9198739283
UniRef50_D2RD23	{'VAGINA': 7.137355032618661}	{'VAGINA': 0.07894736842105263}	0.0789473684211	89.9223264447
SRS023850.296	{'VAGINA': 5.4002050456007709}	{'VAGINA': 0.05263157894736842}	0.0526315789474	42.2954741579
UniRef90_A0A087D7W3	{'VAGINA': 0.2307973156229354}	{'VAGINA': 0.0}	0.0	0.0
UniRef90_A0A087D7W0	{'VAGINA': 0.2307973156229354}	{'VAGINA': 0.0}	0.0	0.0
UniRef50_G5KCS6	{'VAGINA': 0.2307973156229354}	{'VAGINA': 0.0}	0.0	0.0
UniRef50_E1L3P7	{'VAGINA': 5.1268883270615691}	{'VAGINA': 0.02631578947368421}	0.0263157894737	53.6340135236
UniRef90_U2I2S6	{'VAGINA': 12.842923735684936}	{'VAGINA': 0.15789473684210525}	0.157894736842	278.931060783
UniRef90_D6S375	{'VAGINA': 14.382113232201224}	{'VAGINA': 0.2631578947368421}	0.263157894737	327.682391474
UniRef50_D2RC95	{'VAGINA': 5.0408552248135408}	{'VAGINA': 0.02631578947368421}	0.0263157894737	50.2331091029
UniRef50_D2RC99	{'VAGINA': 6.9828495632473144}	{'VAGINA': 0.07894736842105263}	0.0789473684211	84.7945573579
UniRef90_C7Y513	{'VAGINA': 17.704707851309266}	{'VAGINA': 0.4473684210526316}	0.447368421053	514.774419205
UniRef90_C7XJK0	{'VAGINA': 18.23365999340168}	{'VAGINA': 0.5}	0.5	599.533836536
UniRef90_C7Y515	{'VAGINA': 15.490828648491037}	{'VAGINA': 0.15789473684210525}	0.157894736842	394.038003099
UniRef90_C7XJK4	{'VAGINA': 17.504500610927987}	{'VAGINA': 0.5}	0.5	472.576812171
UniRef90_C2ELK3	{'VAGINA': 10.6591392577548}	{'VAGINA': 0.02631578947368421}	0.0263157894737	416.487281285
UniRef90_C7XJK9	{'VAGINA': 17.259158245872499}	{'VAGINA': 0.47368421052631576}	0.473684210526	459.598468353
UniRef90_C7XJK8	{'VAGINA': 17.390761938963951}	{'VAGINA': 0.47368421052631576}	0.473684210526	471.52028944
UniRef90_D3LV18	{'VAGINA': 3.1568507643090635}	{'VAGINA': 0.02631578947368421}	0.0263157894737	23.1581641943
UniRef50_E3R715	{'VAGINA': 15.139961986589517}	{'VAGINA': 0.05263157894736842}	0.0526315789474	477.8584065
UniRef90_E3R4Y1	{'VAGINA': 12.389701295048255}	{'VAGINA': 0.23684210526315788}	0.236842105263	250.500320171
UniRef50_E3R710	{'VAGINA': 17.605139082016017}	{'VAGINA': 0.15789473684210525}	0.157894736842	1227.79536423
UniRef90_E3R4Y6	{'VAGINA': 8.9160265869641186}	{'VAGINA': 0.07894736842105263}	0.0789473684211	137.165353555
UniRef90_E3R3K0	{'VAGINA': 16.457965390730656}	{'VAGINA': 0.13157894736842105}	0.131578947368	483.544308402
UniRef90_E3R4Y4	{'VAGINA': 12.639296774111534}	{'VAGINA': 0.21052631578947367}	0.210526315789	263.208116284
UniRef90_F3M1D1	{'VAGINA': 11.265848329385879}	{'VAGINA': 0.02631578947368421}	0.0263157894737	596.582239074
UniRef90_D3LV11	{'VAGINA': 3.0691066577647947}	{'VAGINA': 0.02631578947368421}	0.0263157894737	22.6678927462
UniRef90_E3R4Y9	{'VAGINA': 8.2985293846662067}	{'VAGINA': 0.02631578947368421}	0.0263157894737	189.420470295
UniRef90_D3LV13	{'VAGINA': 5.4734064997116114}	{'VAGINA': 0.02631578947368421}	0.0263157894737	68.3741662389
UniRef90_D3LV15	{'VAGINA': 2.9760126471300508}	{'VAGINA': 0.02631578947368421}	0.0263157894737	22.0969082265
UniRef90_D3LV16	{'VAGINA': 5.4232555685716379}	{'VAGINA': 0.02631578947368421}	0.0263157894737	66.1697463278
