Gene ID	Annotation	SRS056210	SRS011132	SRS019597	SRS015996	SRS016033
SRS056210.50-T1-C	UniRef_unknown	0.0670926517572	0.0	0.0	0.0	0.0
SRS056210.16-T1-C	UniRef_unknown	0.0657276995305	0.0	0.0	0.0	0.0
SRS056210.87-T1-C	UniRef_unknown	0.104700854701	0.0	0.0	0.0	0.0
SRS056210.41-T1-C	UniRef_unknown	0.0942028985507	0.0	0.0	0.0	0.0
SRS056210.9-T1-C	UniRef_unknown	0.0594059405941	0.0	0.0	0.0	0.0
SRS056210.33-T1-C	UniRef_unknown	0.0553359683794	0.0	0.0	0.0	0.0
SRS056210.76-T1-C	UniRef_unknown	0.0743405275779	0.0	0.0	0.0	0.0
SRS056210.34-T1-C	UniRef_unknown	0.0944881889764	0.0	0.0	0.0	0.0
SRS056210.49-T1-C	UniRef_unknown	0.0900321543408	0.0	0.0	0.0	0.0
SRS056210.44-T1-C	UniRef_unknown	0.0819112627986	0.0	0.0	0.0	0.0
SRS056210.84-T1-C	UniRef_unknown	0.0729613733906	0.0	0.0	0.0	0.0
SRS056210.31-T1-C	UniRef_unknown	0.152610441767	0.0	0.0	0.0	0.0
SRS056210.47-T1-C	UniRef_unknown	0.0548387096774	0.0	0.0	0.0	0.0
SRS056210.82-T1-C	UniRef_unknown	0.054347826087	0.0	0.0	0.0	0.0
SRS056210.88-T1-C	UniRef_unknown	0.0659574468085	0.0	0.0	0.0	0.0
SRS056210.13-T1-C	UniRef_unknown	0.0568720379147	0.0	0.0	0.0	0.0
SRS056210.37-T1-C	UniRef_unknown	0.0884615384615	0.0	0.0	0.0	0.0
SRS056210.17-T1-C	UniRef_unknown	0.0867579908676	0.0	0.0	0.0	0.0
SRS056210.81-T1-C	UniRef_unknown	0.0758928571429	0.0	0.0	0.0	0.0
SRS056210.20-T1-C	UniRef_unknown	0.0557939914163	0.0	0.0	0.0	0.0
SRS056210.65-T1-C	UniRef_unknown	0.0846560846561	0.0	0.0	0.0	0.0
SRS056210.27-T1-C	UniRef_unknown	0.0905349794239	0.0	0.0	0.0	0.0
SRS056210.74-T1-C	UniRef_unknown	0.0873786407767	0.0	0.0	0.0	0.0
SRS056210.59-T1-C	UniRef_unknown	0.0641711229947	0.0	0.0	0.0	0.0
SRS056210.22-T1-C	UniRef_unknown	0.0555555555556	0.0	0.0	0.0	0.0
SRS056210.35-T1-C	UniRef_unknown	0.0778210116732	0.0	0.0	0.0	0.0
